Orden,Cuentas,Valor,Unidad de medida y moneda,Fecha (Año),Estados de la informacion,Periodicidad,Trimestre
1,    1 Cuenta corriente,"91,158597187",Millones - Dólares estadounidenses corrientes,2000,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,"77,494127473",Millones - Dólares estadounidenses corrientes,2000,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,"363,39414801",Millones - Dólares estadounidenses corrientes,2000,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,"313,35721038",Millones - Dólares estadounidenses corrientes,2000,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,"-477,5388639",Millones - Dólares estadounidenses corrientes,2001,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,"-290,9201972",Millones - Dólares estadounidenses corrientes,2001,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,"-22,78288821",Millones - Dólares estadounidenses corrientes,2001,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,"-249,0859713",Millones - Dólares estadounidenses corrientes,2001,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,"-235,597903",Millones - Dólares estadounidenses corrientes,2002,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,"-348,8176201",Millones - Dólares estadounidenses corrientes,2002,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,"-305,3520707",Millones - Dólares estadounidenses corrientes,2002,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,"-399,4350761",Millones - Dólares estadounidenses corrientes,2002,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,"-605,4217853",Millones - Dólares estadounidenses corrientes,2003,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,"-70,25799395",Millones - Dólares estadounidenses corrientes,2003,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,"59,359248274",Millones - Dólares estadounidenses corrientes,2003,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,"-295,6838534",Millones - Dólares estadounidenses corrientes,2003,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,"-591,1450785",Millones - Dólares estadounidenses corrientes,2004,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,"-210,2244537",Millones - Dólares estadounidenses corrientes,2004,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,"119,29379592",Millones - Dólares estadounidenses corrientes,2004,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,"-92,48021461",Millones - Dólares estadounidenses corrientes,2004,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,"-551,512148",Millones - Dólares estadounidenses corrientes,2005,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,"-285,2684884",Millones - Dólares estadounidenses corrientes,2005,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,"-877,3426537",Millones - Dólares estadounidenses corrientes,2005,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,"-233,6394781",Millones - Dólares estadounidenses corrientes,2005,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,"-669,3463609",Millones - Dólares estadounidenses corrientes,2006,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,"-707,3868427",Millones - Dólares estadounidenses corrientes,2006,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,"-775,0232527",Millones - Dólares estadounidenses corrientes,2006,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,"-839,2800673",Millones - Dólares estadounidenses corrientes,2006,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,"-2091,335051",Millones - Dólares estadounidenses corrientes,2007,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,"-1453,64285",Millones - Dólares estadounidenses corrientes,2007,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,"-1462,860163",Millones - Dólares estadounidenses corrientes,2007,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,"-1141,800924",Millones - Dólares estadounidenses corrientes,2007,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,"-1312,293384",Millones - Dólares estadounidenses corrientes,2008,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,"-1157,350765",Millones - Dólares estadounidenses corrientes,2008,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,"-1661,079657",Millones - Dólares estadounidenses corrientes,2008,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,"-2366,561936",Millones - Dólares estadounidenses corrientes,2008,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,"-932,1790343",Millones - Dólares estadounidenses corrientes,2009,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,"-760,9207378",Millones - Dólares estadounidenses corrientes,2009,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,"-1296,269764",Millones - Dólares estadounidenses corrientes,2009,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,"-1443,64139",Millones - Dólares estadounidenses corrientes,2009,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,"-1260,82076",Millones - Dólares estadounidenses corrientes,2010,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,"-1405,755574",Millones - Dólares estadounidenses corrientes,2010,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,"-3210,349642",Millones - Dólares estadounidenses corrientes,2010,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,"-2706,088222",Millones - Dólares estadounidenses corrientes,2010,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,"-2002,965783",Millones - Dólares estadounidenses corrientes,2011,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,"-1726,111058",Millones - Dólares estadounidenses corrientes,2011,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,"-3030,84709",Millones - Dólares estadounidenses corrientes,2011,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,"-2974,577863",Millones - Dólares estadounidenses corrientes,2011,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,"-1838,261659",Millones - Dólares estadounidenses corrientes,2012,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,"-3235,458985",Millones - Dólares estadounidenses corrientes,2012,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,"-3596,242539",Millones - Dólares estadounidenses corrientes,2012,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,"-2970,035868",Millones - Dólares estadounidenses corrientes,2012,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,"-3439,15823",Millones - Dólares estadounidenses corrientes,2013,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,"-2205,944345",Millones - Dólares estadounidenses corrientes,2013,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,"-3596,219454",Millones - Dólares estadounidenses corrientes,2013,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,"-3123,80772",Millones - Dólares estadounidenses corrientes,2013,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,"-4124,711526",Millones - Dólares estadounidenses corrientes,2014,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,"-4189,284516",Millones - Dólares estadounidenses corrientes,2014,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,"-5033,405892",Millones - Dólares estadounidenses corrientes,2014,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,"-6471,143699",Millones - Dólares estadounidenses corrientes,2014,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,"-5291,929015",Millones - Dólares estadounidenses corrientes,2015,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,"-4426,374178",Millones - Dólares estadounidenses corrientes,2015,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,"-5055,773282",Millones - Dólares estadounidenses corrientes,2015,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,"-3928,153184",Millones - Dólares estadounidenses corrientes,2015,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,"-3524,790359",Millones - Dólares estadounidenses corrientes,2016,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,"-2794,416791",Millones - Dólares estadounidenses corrientes,2016,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,"-3601,142148",Millones - Dólares estadounidenses corrientes,2016,Dato revisado,Trimestral,Q3
